# CSV-File created with merge-csv.com
# -----------------------------------------------------------

-2,1.02492350,0.12871821,0.99560097,0.20658781
30,1.00321808,0.16679325,0.97496675,0.16753019
61,1.02204020,0.17539084,0.99191628,0.17293439
65,1.02845855,0.15230017,1.00247904,0.17195181
94,1.00624951,0.13903532,0.97987966,0.18177763
97,0.98590751,0.13215725,0.95678899,0.19774458
130,0.98153675,0.10439931,0.97177336,0.09039752
160,0.97366059,0.12429659,0.95973673,0.10710141
197,0.98251844,0.13092902,0.97152771,0.06583298
232,0.99677211,0.08081735,0.99265322,0.04077714
295,1.01442386,0.19749893,0.99461838,0.02800358
324,1.00170635,0.16630196,0.98700338,0.03979456
355,0.99393931,0.17047794,0.97791450,0.05035732
359,1.00950025,0.16163470,0.99265322,0.08720413
388,1.00090226,0.15500227,0.98380999,0.09948640
391,1.00665408,0.11225997,0.99732048,0.07811525
439,1.01327627,0.07271105,1.00788324,0.07492186
448,1.02145497,0.04175972,1.01795470,0.07344799
513,1.03104733,0.14075484,1.02139374,0.00122823
545,1.03791184,0.14787855,1.02728923,-0.00835194
577,1.04664244,0.10046898,1.04153666,0.02382761
609,1.05361753,0.13535064,1.04350183,0.05379635
624,1.03680180,0.15303711,1.02360455,0.06141136
690,1.04731696,0.11029480,1.04055408,0.04421618
719,1.03169564,0.06141136,1.02876310,0.04765522
723,1.02138597,0.03414472,1.01991987,0.04274231
752,1.03205075,0.03070568,1.03072826,0.04225102
756,0.99213468,0.04175972,0.99117935,0.01228227
787,0.84707431,-0.01793212,0.84428338,0.06632427
852,0.96589327,0.08302816,0.94647188,0.17391697
883,1.02282788,0.15647615,0.99879436,0.15524792
887,1.18197719,0.30509164,1.13168854,0.15254582
921,1.17734159,0.31344358,1.12259966,0.16630196
948,1.19318064,0.28003580,1.14004049,0.21346589
952,1.21842874,0.24024124,1.16411374,0.26775353
984,1.19815345,0.22083525,1.13807532,0.30263518
1047,1.01557401,0.28568565,0.95408689,0.19872716
1083,0.95569734,0.21518541,0.91159023,0.18988392
1114,0.93256330,0.13682451,0.90348393,0.18619924
1145,0.88466595,0.14763291,0.85484613,0.17342568
1210,0.91043428,0.26824482,0.84821370,0.19356861
1241,0.90611747,0.25596255,0.85067016,0.17858423
1245,0.89950587,0.23287188,0.84158128,0.21592234
1284,0.97786451,0.23557398,0.90741425,0.27807064
1306,0.98449449,0.26529707,0.90962506,0.26726224
1309,0.98365593,0.28912468,0.91576620,0.21297460
1342,1.00512849,0.33088441,0.91502926,0.25203222
1404,0.95023054,0.38345253,0.85165274,0.17489955
1406,0.92682832,0.37755704,0.82733384,0.17882988
1433,0.91421151,0.33776248,0.82512303,0.20216620
1436,1.22915499,0.27020998,1.13537322,0.38566334
1461,1.36068617,0.05232248,1.35596283,0.10046898
1487,1.14335606,0.01989728,1.13463629,0.13952661
1490,1.11624491,-0.04937473,1.11326513,0.06485040
