Column1,Column2,Column3,Column4,Column5,Column6,Column7
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
11.6661406,0.617723,7.110996,6.581861,9.709209,47.320332,85.035255
11.6681423,0.593780,7.106208,6.598621,9.715584,47.220474,85.223579
11.6701441,0.567443,7.113390,6.620170,9.733908,47.147427,85.439110
11.6721458,0.579414,7.113390,6.620170,9.734612,47.151276,85.343307
11.6741467,0.524346,7.065505,6.694392,9.747368,46.623474,85.755737
11.6761475,0.524346,7.012831,6.718335,9.725778,46.308418,85.723976
11.6781492,0.507586,7.008042,6.754249,9.746290,46.131374,85.857353
11.6801500,0.524346,7.003254,6.749461,9.740417,46.137238,85.718155
11.6821518,0.519558,6.996071,6.727912,9.720070,46.198101,85.752769
11.6841497,0.538712,6.976917,6.735095,9.712317,46.095440,85.584755
11.6861515,0.553077,6.988888,6.787769,9.758292,45.925758,85.475235
11.6881523,0.569837,6.986494,6.806923,9.770876,45.840801,85.337120
11.6901550,0.608146,7.003254,6.869174,9.828579,45.661343,85.037025
11.6921558,0.593780,6.984099,6.881146,9.822443,45.528580,85.140465
11.6941576,0.588992,7.010437,6.878752,9.839226,45.643944,85.197495
11.6961584,0.579414,7.017620,6.893117,9.853820,45.610085,85.280045
11.6981602,0.581809,7.020014,6.895512,9.857341,45.610645,85.262238
11.7001610,0.588992,7.022408,6.890723,9.856125,45.642673,85.205643
11.7021618,0.581809,7.010437,6.895512,9.850523,45.571812,85.255791
11.7041636,0.591386,7.024802,6.861991,9.837913,45.772842,85.187881
11.7061644,0.586597,7.012831,6.861991,9.829081,45.722710,85.218552
11.7081661,0.588992,7.008042,6.859597,9.824136,45.714088,85.195862
11.7101669,0.598569,7.000860,6.840443,9.806222,45.768311,85.113136
11.7121687,0.596174,7.005648,6.830866,9.802819,45.827045,85.135902
11.7141695,0.608146,7.000860,6.792558,9.773470,45.972816,85.035332
11.7161713,0.610540,6.998465,6.771009,9.756938,46.054913,85.014191
11.7181721,0.624906,6.988888,6.759038,9.742672,46.071823,84.890533
11.7201729,0.627300,6.981705,6.706364,9.701186,46.267437,84.865814
11.7221737,0.622511,6.984099,6.684815,9.687720,46.367538,84.906532
11.7241764,0.620117,6.998465,6.670450,9.688031,46.486553,84.936386
