1468513697.000000, 1468513697.000000, 1468513697.000000
32.000000, 32.000000, 32.000000
-34,52,25
-34,51,23
-34,50,23
-34,49,23
-35,49,22
-35,49,23
-35,48,23
-34,48,24
-36,48,24
-37,49,22
-38,49,22
-37,48,22
-37,48,23
-39,48,22
-39,48,23
-38,48,23
-37,48,23
-38,47,23
-39,48,21
-37,48,23
-37,48,23
-36,48,22
-36,49,21
-37,50,20
-35,49,21
-34,49,20
-35,49,20
-35,48,20
-35,48,21
-35,49,20
-36,49,21
-39,50,20
-38,49,20
-37,49,22
-36,49,22
-36,48,24
-37,48,23
-34,49,25
-33,49,25
-34,49,25
-32,48,28
-32,47,29
-31,47,31
-30,47,32
-30,48,31
-30,47,31
-29,48,31
-29,48,31
-38,49,29
-28,47,33
-28,48,34
-33,48,32
-28,50,34
-33,53,34
-29,54,38
-23,52,37
-25,49,37
-18,44,38
-20,43,38
-21,47,45
-21,44,43
-23,44,45
-28,43,47
-25,41,46
-25,39,48
-23,38,48
-21,36,45
-21,36,45
-24,35,47
-26,32,46
-28,29,46
-29,22,47
-29,20,48
-33,17,47
-34,15,45
-40,19,50
-38,21,50
-32,26,47
-32,34,50
-29,37,51
-15,38,48
-16,40,50
-16,42,52
-17,39,48
-17,37,51
-17,36,51
-17,33,50
-14,33,50
-8,37,46
-6,43,39
-6,44,34
-7,43,35
-10,44,39
-17,44,45
-25,44,44
-41,37,43
-48,40,46
-50,42,45
-47,41,37
-42,40,37
-44,42,36
-41,43,35
-46,41,31
-44,40,32
-37,41,35
-39,43,36
-39,45,36
-35,46,37
-29,47,40
-28,45,37
-26,44,37
-27,43,37
-27,43,36
-33,43,34
-36,44,34
-37,45,33
-46,48,36
-46,49,37
-57,45,37
-61,44,40
-60,36,24
-57,30,20
-51,25,17
-47,25,13
-45,23,1
-42,27,0
-53,36,-13
-62,43,-18
-58,37,-5
-52,29,-11
-41,24,-15
-61,20,-28
-67,18,-28
-50,17,-10
-45,18,-8
-63,23,-14
-68,18,-15
-61,20,-12
-58,22,-9
-56,22,-9
-55,22,-8
-54,24,-7
-53,24,-5
-55,26,-5
-53,29,-5
-56,31,-1
-65,32,-5
-74,32,-9
-86,27,-8
-59,24,22
-63,22,22
-72,26,15
-64,22,15
-36,29,37
-37,33,39
-43,34,34
-53,32,26
-49,33,25
-46,29,29
-54,30,25
-55,29,23
-53,28,25
-47,26,29
-46,27,28
-55,29,24
-58,27,20
-54,25,22
-51,23,24
-52,22,22
-60,20,19
-54,20,19
-67,19,9
-74,21,6
-58,19,12
-53,20,14
-55,23,13
-68,19,4
-64,21,5
-51,23,15
-53,21,11
-60,21,3
-64,21,-6
-63,24,-10
-63,26,-9
-62,25,-12
-75,21,-10
-65,19,-4
-57,15,5
-60,18,6
-63,19,-5
-71,19,-8
-59,21,2
-56,23,6
-52,21,1
-60,22,3
-68,21,-1
-69,21,0
-65,21,0
-65,18,-1
-63,20,1
-64,15,-10
-59,18,-3
-58,20,5
-66,17,-5
-67,19,-2
-62,18,0
-61,17,-1
-59,20,-1
-59,19,-2
-62,19,0
-62,20,1
-65,17,-5
-60,17,-3
-59,17,-6
-70,17,-12
-71,18,-10
-59,19,-3
-58,19,-3
-63,17,-11
-63,18,-10
-63,17,-10
-61,17,-8
-61,17,-8
-63,17,-10
-63,17,-11
-63,17,-10
-62,18,-9
-61,17,-10
-63,16,-11
-62,17,-8
-62,16,-11
-63,17,-11
-62,16,-9
-61,16,-9
-62,17,-9
-63,17,-9
-62,17,-8
